Need State,Category,Sub Category,Segment,Sub Segment,Manufacturer New,Actual_Month,$,Units
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-11-2016,890598,170520
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-12-2016,4933059,993499
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-01-2017,3648186,687198
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-02-2017,3629591,659758
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-03-2017,4751350,890494
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-04-2017,3835368,745367
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-05-2017,3907419,767568
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-06-2017,5025557,1001294
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-07-2017,3824425,751467
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-08-2017,4048026,792566
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-09-2017,4882506,1023237
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-10-2017,3672627,714698
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-11-2017,3458520,885324
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-12-2017,3999310,776958
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-01-2018,3004984,547486
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-02-2018,2952440,546686
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-03-2018,3939526,750776
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-04-2018,3071524,590342
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-05-2018,3230872,620727
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-06-2018,4178359,798333
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-07-2018,3318473,643034
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-08-2018,3423189,668200
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-09-2018,4076805,809109
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-10-2018,3247343,643456
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-11-2018,2953169,574514
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-12-2018,3695538,750492
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-01-2019,2775083,514384
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-02-2019,2754806,501725
BABY CARE,BABY & KIDS TOILETRIES,ALL OTHERS,ALL OTHERS,ALL OTHERS,All Other,01-03-2019,3666150,643584
